[ERROR] - 2017-01-11 21:39:16,623 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Host '192.168.1.100' is not allowed to connect to this MySQL server
[ERROR] - 2017-01-11 21:39:21,982 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Host '192.168.1.100' is not allowed to connect to this MySQL server
[ERROR] - 2017-01-11 21:39:23,107 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Host '192.168.1.100' is not allowed to connect to this MySQL server
[ERROR] - 2017-01-11 21:50:13,029 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:13,139 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:13,185 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:13,654 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:14,107 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:17,467 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:18,060 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:18,404 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:50:18,592 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:03,685 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:03,826 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:03,904 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:04,264 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:04,342 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:04,529 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:04,685 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:05,154 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:05,779 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:06,326 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
[ERROR] - 2017-01-11 21:51:06,560 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '192.168.1.100' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'192.168.1.100' to database 'wechat_msg'
